745F	7E98
7460	7E9A
7461	4343
7462	7F3C
7463	7F3B
7464	7F3E
7465	7F43
7466	7F44
7467	7F4F
7468	34C1
7469	26270
746A	7F52
746B	26286
746C	7F61
746D	7F63
746E	7F64
746F	7F6D
7470	7F7D
7471	7F7E
7472	2634C
7473	7F90
7474	517B
7475	23D0E
7476	7F96
7477	7F9C
7478	7FAD
7479	26402
747A	7FC3
747B	7FCF
747C	7FE3
747D	7FE5
747E	7FEF
7521	7FF2
7522	8002
7523	800A
7524	8008
7525	800E
7526	8011
7527	8016
7528	8024
7529	802C
752A	8030
752B	8043
752C	8066
752D	8071
752E	8075
752F	807B
7530	8099
7531	809C
7532	80A4
7533	80A7
7534	80B8
7535	2667E
7536	80C5
7537	80D5
7538	80D8
7539	80E6
753A	266B0
753B	810D
753C	80F5
753D	80FB
753E	43EE
753F	8135
7540	8116
7541	811E
7542	43F0
7543	8124
7544	8127
7545	812C
7546	2671D
7547	813D
7548	4408
7549	8169
754A	4417
754B	8181
754C	441C
754D	8184
754E	8185
754F	4422
7550	8198
7551	81B2
7552	81C1
7553	81C3
7554	81D6
7555	81DB
7556	268DD
7557	81E4
7558	268EA
7559	81EC
755A	26951
755B	81FD
755C	81FF
755D	2696F
755E	8204
755F	269DD
7560	8219
7561	8221
7562	8222
7563	26A1E
7564	8232
7565	8234
7566	823C
7567	8246
7568	8249
7569	8245
756A	26A58
756B	824B
756C	4476
756D	824F
756E	447A
756F	8257
7570	26A8C
7571	825C
7572	8263
7573	26AB7
7574	FA5D
7575	FA5E
7576	8279
7577	4491
7578	827D
7579	827F
757A	8283
757B	828A
757C	8293
757D	82A7
757E	82A8
7621	82B2
7622	82B4
7623	82BA
7624	82BC
7625	82E2
7626	82E8
7627	82F7
7628	8307
7629	8308
762A	830C
762B	8354
762C	831B
762D	831D
762E	8330
762F	833C
7630	8344
7631	8357
7632	44BE
7633	837F
7634	44D4
7635	44B3
7636	838D
7637	8394
7638	8395
7639	839B
763A	839D
763B	83C9
763C	83D0
763D	83D4
763E	83DD
763F	83E5
7640	83F9
7641	840F
7642	8411
7643	8415
7644	26C73
7645	8417
7646	8439
7647	844A
7648	844F
7649	8451
764A	8452
764B	8459
764C	845A
764D	845C
764E	26CDD
764F	8465
7650	8476
7651	8478
7652	847C
7653	8481
7654	450D
7655	84DC
7656	8497
7657	84A6
7658	84BE
7659	4508
765A	84CE
765B	84CF
765C	84D3
765D	26E65
765E	84E7
765F	84EA
7660	84EF
7661	84F0
7662	84F1
7663	84FA
7664	84FD
7665	850C
7666	851B
7667	8524
7668	8525
7669	852B
766A	8534
766B	854F
766C	856F
766D	4525
766E	4543
766F	853E
7670	8551
7671	8553
7672	855E
7673	8561
7674	8562
7675	26F94
7676	857B
7677	857D
7678	857F
7679	8581
767A	8586
767B	8593
767C	859D
767D	859F
767E	26FF8
7721	26FF6
7722	26FF7
7723	85B7
7724	85BC
7725	85C7
7726	85CA
7727	85D8
7728	85D9
7729	85DF
772A	85E1
772B	85E6
772C	85F6
772D	8600
772E	8611
772F	861E
7730	8621
7731	8624
7732	8627
7733	2710D
7734	8639
7735	863C
7736	27139
7737	8640
7738	FA20
7739	8653
773A	8656
773B	866F
773C	8677
773D	867A
773E	8687
773F	8689
7740	868D
7741	8691
7742	869C
7743	869D
7744	86A8
7745	FA21
7746	86B1
7747	86B3
7748	86C1
7749	86C3
774A	86D1
774B	86D5
774C	86D7
774D	86E3
774E	86E6
774F	45B8
7750	8705
7751	8707
7752	870E
7753	8710
7754	8713
7755	8719
7756	871F
7757	8721
7758	8723
7759	8731
775A	873A
775B	873E
775C	8740
775D	8743
775E	8751
775F	8758
7760	8764
7761	8765
7762	8772
7763	877C
7764	273DB
7765	273DA
7766	87A7
7767	8789
7768	878B
7769	8793
776A	87A0
776B	273FE
776C	45E5
776D	87BE
776E	27410
776F	87C1
7770	87CE
7771	87F5
7772	87DF
7773	27449
7774	87E3
7775	87E5
7776	87E6
7777	87EA
7778	87EB
7779	87ED
777A	8801
777B	8803
777C	880B
777D	8813
777E	8828
7821	882E
7822	8832
7823	883C
7824	460F
7825	884A
7826	8858
7827	885F
7828	8864
7829	27615
782A	27614
782B	8869
782C	27631
782D	886F
782E	88A0
782F	88BC
7830	88BD
7831	88BE
7832	88C0
7833	88D2
7834	27693
7835	88D1
7836	88D3
7837	88DB
7838	88F0
7839	88F1
783A	4641
783B	8901
783C	2770E
783D	8937
783E	27723
783F	8942
7840	8945
7841	8949
7842	27752
7843	4665
7844	8962
7845	8980
7846	8989
7847	8990
7848	899F
7849	89B0
784A	89B7
784B	89D6
784C	89D8
784D	89EB
784E	46A1
784F	89F1
7850	89F3
7851	89FD
7852	89FF
7853	46AF
7854	8A11
7855	8A14
7856	27985
7857	8A21
7858	8A35
7859	8A3E
785A	8A45
785B	8A4D
785C	8A58
785D	8AAE
785E	8A90
785F	8AB7
7860	8ABE
7861	8AD7
7862	8AFC
7863	27A84
7864	8B0A
7865	8B05
7866	8B0D
7867	8B1C
7868	8B1F
7869	8B2D
786A	8B43
786B	470C
786C	8B51
786D	8B5E
786E	8B76
786F	8B7F
7870	8B81
7871	8B8B
7872	8B94
7873	8B95
7874	8B9C
7875	8B9E
7876	8C39
7877	27BB3
7878	8C3D
7879	27BBE
787A	27BC7
787B	8C45
787C	8C47
